order_id,return_id,customer_id,support_agent_id,scenario_id,scenario_name,label,expected_rules,decision
order_103231,return_303231,customer_1572,agent_019,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_102167,return_302167,customer_0805,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102587,return_302587,customer_1433,agent_015,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101680,return_301680,customer_1431,agent_017,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104683,return_304683,customer_8003,agent_803,8,Repeated agent-customer approval pattern,fraud,REPEATED_AGENT_CUSTOMER_PAIR,APPROVED
order_101685,return_301685,customer_1662,agent_030,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101905,return_301905,customer_0552,agent_009,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102416,return_302416,customer_1080,agent_006,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103125,return_303125,customer_1986,agent_014,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_100451,return_300451,customer_1153,agent_020,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102082,return_302082,customer_1123,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104811,return_304811,customer_9904,agent_902,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_103500,return_303500,customer_0349,agent_028,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_103610,return_303610,customer_0636,agent_103,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_100098,return_300098,customer_0228,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101447,return_301447,customer_0588,agent_020,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104021,return_304021,customer_1120,agent_022,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_103160,return_303160,customer_1812,agent_030,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_103186,return_303186,customer_0285,agent_007,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_104131,return_304131,customer_9002,agent_007,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_102297,return_302297,customer_0639,agent_003,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103051,return_303051,customer_0252,agent_002,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_102200,return_302200,customer_1152,agent_008,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101178,return_301178,customer_0921,agent_003,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103600,return_303600,customer_1305,agent_102,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_103039,return_303039,customer_0780,agent_020,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_101827,return_301827,customer_1918,agent_030,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104330,return_304330,customer_0966,agent_702,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_100675,return_300675,customer_1278,agent_015,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103527,return_303527,customer_1458,agent_001,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_104832,return_304832,customer_9902,agent_901,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102486,return_302486,customer_0469,agent_023,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
